,Company,State/ Province,Product_Abbrev,Gwh/yr,Year,Info
5,Rolled-Ribbon Battery Company,TX,LFP,-,2025,Small facility https://www.crunchbase.com/organization/rolled-ribbon-battery-company?utm_source=chatgpt.com
131,SK Battery America,GA,LFP,0.198,2026,https://batteriesnews.com/sk-on-expands-into-us-bess-market-with-lfp-batteries/?utm_source=chatgpt.com
133,SK Group,GA,LFP,21.5,2026,
38,Stryten Energy,KS,LFP,-,2025,Seem to focus on military
,Stryten Energy,IA,LFP,-,2025,Military
60,Stryten Energy,ON,LFP,-,2025,Military
140,TAB,MO,LFP,0.165,2025,https://www.tabspain.com/wp-content/uploads/2021/11/manual-tab-li-ion-monoblock.pdf?utm_source=chatgpt.com
73,Ultralife Corp,NY,LFP,0.05,2025,https://www.ultralifecorp.com/ECommerce/product/ubi-2590/bb-2590-rechargeable-batteries/ubbl02-01-cb/ubi-2590-li-ion-cb
77,American Battery Factory,GA,LFP,13.2,2025,Other plant
78,"Amplify Cell Technologies (Accelera, EVE and PACCAR and Daimler)",NC,LFP,21,2027,https://www.accelerazero.com/news/amplify-cell-technologies-joint-venture-between-accelera-cummins-daimler-truck-and-paccar?utm_source=chatgpt.com
153,Xos Trucks,CA,LFP,2.34,2025,https://www.xostrucks.com/blog/why-lfp-batteries-are-superior-for-commercial-electric-vehicles?utm_source=chatgpt.com
82,Canadian Solar,TN,LFP,6,2025,https://solarenergies.ca/canadian-solar-s-big-us-manufacturing-move-will-it-make-your-next-battery-cheaper/
84,Cummins,IL,LFP,0.825,2027,https://www.electrive.com/2023/09/06/usa-daimler-truck-paccar-cummins-to-build-lfp-batteries/
85,"Cummins, Daimler Truck AG",IL,LFP,6.3,2027,
136,Sparkz,CA,LFP,15,2028,https://sparkz.energy/
93,EVLO,OH,LFP,3.05,2025,Storage https://evloenergy.com/solutions/evlo-synergy/
105,General Motors & Samsung SDI,IN,LFP,30,2026,https://batteriesnews.com/lg-energy-samsung-sdi-to-build-1st-us-lfp-battery-plants-with-gm/?utm_source=chatgpt.com
106,Guoxuan High Tech Co.,IL,LFP,40,2025,https://news.metal.com/newscontent/102385325/?utm_source=chatgpt.com
109,HiTHIUM Energy Storage Technology USA Inc.,TX,LFP,10,2025,https://hithium.cn/en/intro.aspx?utm_source=chatgpt.com
50,Altairnano,IN,LTO,0.26,2025,https://pdf.secdatabase.com/219/0001437749-17-009565.pdf?utm_source=chatgpt.com
43,"ABSL Power Solutions, Inc.",CO,NA,-,2025,Military
40,"EaglePicher Technologies, LLC",BC,NA,-,2025,Military application
141,"Tesla Motors, Inc.",CA,NCA,4.16,2025,
150,VinFast,NC,NCA,22,2028,https://www.sec.gov/Archives/edgar/data/1913510/000119312523066067/d422592df1a.htm?utm_source=chatgpt.com
74,Clarios,MI,NCA,0.001,2025,
56,"EaglePicher Technologies, LLC",MO,NCA,0.2,2025,Military application
55,Electrovaya,NY,NCA,0.5,2025,
59,Tesla Inc,CA,NCA,4,2025,
14,"Tesla Inc, Panasonic Corp",NV,NCA,10,2029,
52,Tesla Inc.,TX,NCA,10,2025,
142,"Tesla Motors, Inc.",TX,NCA,150,2028,
90,Enevate Corp,SC,NMC,6,2028,https://www.enevate.com/enevates-silicon-anodes-could-yield-ev-batteries-that-run-400-km-on-a-5-minute-charge/
91,Enovix,MI,NMC,0.495,2025,https://eureka.patsnap.com/report-potential-of-enovix-batteries-in-electric-vehicles-challenges-and-opportunities
92,EnPower,OH,NMC,1,2025,https://www.enpowerinc.com/product
95,Forge Battery,TN,NMC,3,2030,https://ev.com/news/forge-battery-unveils-revolutionary-gen-1-1-supercell-with-10-minute-fast-charging-for-evs%26blogId%3D4551?utm_source=chatgpt.com
96,"Forge Nano, Inc.",AL,NMC,1,2026,
97,Freudenberg,OH,NMC,6.6,2025,https://www.electrive.com/2023/09/13/ascend-elements-develops-cathode-material-for-freudenberg/?utm_source=chatgpt.com
98,Freudenberg,NV,NMC,19,2025,
120,Mercedes-Benz Group AG,AL,NMC,26,2025,
35,Rivian,GA,NMC,50,2029,https://www.greencarreports.com/news/1144969_rivian-r2-will-get-arizona-made-batteries-from-lg?utm_source=chatgpt.com
65,Samsung SDI America Inc.,MI,NMC,-,2025,https://www.colliers.com/en/news/detroit-ann-arbor/samsung-signs-lease-for-%2462-million-battery-plant-hq-in-auburn-hills?utm_source=chatgpt.com
129,"Samsung SDI Co., Ltd",OH,NMC,1.463,2025,https://grokipedia.com/page/Samsung_SDI?utm_source=chatgpt.com
126,"Samsung SDI Co., Ltd",TN,NMC,15,2027,
128,"Samsung SDI Co., Ltd",NC,NMC,16.5,2025,
127,"Samsung SDI Co., Ltd",NC,NMC,17,2027,
76,"American Autoparts, Inc (Mobis North America, LLC)",MI,NMC,0.3311,2027,Hundai parent company
81,BorgWarner,TN,NMC,3,2025,https://selfdrivenews.com/borgwarner-battery-to-power-holon-autonomous-shuttle/
88,Electrovaya,GA,NMC,1,2025,https://electrovaya.com/product/
31,General Motors (GM) - Samsung SDI JV,IN,NMC,36,2029,https://insideevs.com/news/731721/gm-samsung-sdi-indiana-ev-battery-factory-official-delay/
137,Statevolt,CA,NMC,54,2025,
32,BlueOvalSK (JV of Ford and SK On),KY,NMC,20,2027,https://www.energy.gov/sites/default/files/2022-12/DOE-LPO_BlueOval_SK_EA_and_DRAFT_FONSI.pdf?utm_source=chatgpt.com
80,BMW AG,OH,NMC,1.68,2025,
143,TotalEnergies,FL,NMC,3.7,2027,
144,TotalEnergies (Saft),FL,NMC,2.2,2027,https://saft.com/en/battery-chemistries?utm_source=chatgpt.com
147,Toyota,NC,NMC,0.333333333333333,2025,https://pressroom.toyota.com/toyota-and-redwood-materials-agree-to-battery-recycling-materials-procurement/?utm_source=chatgpt.com
146,Toyota,NC,NMC,0.396825396825397,2025,
148,Toyota,NC,NMC,1.26984126984127,2025,
145,Toyota,NC,NMC,28,2025,
72,AESC,TN,NMC,3,2025,
66,American Lithium Energy,CA,NMC,-,2025,Military application
23,BlueOvalSK (JV of Ford and SK On),TN,NMC,43,2027,
49,"EaglePicher Technologies, LLC",MO,NMC,-,2025,Military application
46,Electrovaya,ON,NMC,0.5,2025,
53,EnerSys,CA,NMC,0,2025,Closed
41,EnerSys,PA,NMC,0.07,2025,
26,EnerSys,SC,NMC,4,2029,https://investor.enersys.com/node/22481/pdf/
30,Enovix,CA,NMC,0.2,2025,
16,Enpower Greentech,IN,NMC,0.8,2025,
29,Five Stone Energy,VA,NMC,-,2029,Not cell manufacturing
61,Forge Nano,CO,NMC,-,2025,Supplemental
17,Forge Nano - Forge Battery,NC,NMC,1,2027,
20,Gotion,IL,NMC,40,2029,
112,Hyundai Motor Group,GA,NMC,0.1518,2025,https://evenergyhub.com/hyundai-kona-ev-battery-type/?utm_source=chatgpt.com
28,Ionblox,CA,NMC,0.005,2025,https://milpwr.org/wp-content/uploads/2024/06/Ionblox_High-Energy-and-High-Power-Silicon-Anode-LIBs_DPEC_6-4-24-Herman-Lopez.pdf?utm_source=chatgpt.com
19,LG Energy Solution,MI,NMC,50,2027,
21,LG Energy Solution Ltd,MI,NMC,5,2027,
57,LG Energy Solution Ltd,MI,NMC,16.5,2025,
27,LG Energy Solution Ltd,AZ,NMC,36,2027,
45,Nanotech Energy,CA,NMC,0.15,2025,https://battery-tech.net/company/nanotech-energy/?utm_source=chatgpt.com
71,"Navitas Systems, LLC",MI,NMC,0.1,2025,
15,Panasonic,KS,NMC,30,2027,
68,Saft America Inc,MD,NMC,0.2,2025,
48,Saft America Inc,FL,NMC,1.5,2025,
67,SK Battery America,GA,NMC,9.8,2025,
25,SK Battery America,GA,NMC,12.2,2027,
132,SK Group,GA,NMC,43,2025,
134,SK Innovation,GA,NMC,22,2025,
24,StarPlus Energy (JV Stellantis - Samsung SDI Co) Ltd,IN,NMC,33,2026,
22,StarPlus Energy (JV Stellantis - Samsung SDI Co) Ltd,IN,NMC,34,2029,
62,Toyota,NC,NMC,30,2025,
51,Ultium Cells LLC (JV of GM and LG Energy Solution),OH,NMC,41,2025,
64,Xalt Energy MI LLC,MI,NMC,0.75,2025,
18,Xerion Advanced Battery Corp,OH,NMC,-,2029,Refining https://www.xerionbattery.com/blog/xerion-announces-pilot-production-at-us-facility-using-proprietary-cobalt-refinement-technology?utm_source=chatgpt.com
33,Honda - LGES Partnership,OH,NMCA,40,2027,https://inside.lgensol.com/en/2024/03/how-does-lg-energy-solution-make-pouch-type-batteries/?utm_source=chatgpt.com
36,Hyundai-LGES JV,GA,NMCA,30,2027,
34,Hyundai-SK On,GA,NMCA,35,2027,
79,BASF,MI,NMCA,1.66666666666667,2025,CAM
149,Toyota and LG Energy Solutions,MI,NMCA,20,2025,
42,Ultium Cells LLC (JV of GM and LG Energy Solution),TN,NMCA,50,2025,SomeLFP too
