State,Segment,Propulsion,Year,BESS_retire_vector,BESS_retire_total,Country,Scenario,Source,Type,BESS_stock_vector,BESS_stock_total,Vehicle
Alabama,Car,BEV,2036,0|0|0|0|0|1|1|3|6|11|19|32|8|12|13|9|5|6|5|1|1|0|0|0|0|0|0|0|0|0|0,133,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2037,0|0|0|0|0|1|1|3|7|13|25|42|66|11|15|14|9|5|5|4|1|0|0|0|0|0|0|0|0|0|0,222,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2038,0|0|0|0|0|1|2|3|8|15|30|54|85|86|13|16|14|8|4|4|3|0|0|0|0|0|0|0|0|0|0,346,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2039,0|0|0|0|0|1|2|4|8|18|36|66|110|111|103|14|16|13|7|3|3|2|0|0|0|0|0|0|0|0|0,517,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2040,0|0|0|0|0|1|2|4|9|19|41|78|136|144|135|114|14|15|11|5|2|2|1|0|0|0|0|0|0|0|0,733,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2041,0|0|0|0|0|1|2|5|11|22|45|89|160|177|174|149|114|13|12|8|4|2|1|1|0|0|0|0|0|0|0,990,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2042,0|0|0|0|0|1|2|5|12|25|50|98|184|208|214|192|149|103|11|9|6|3|1|1|1|0|0|0|0|0|0,1275,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2043,0|0|0|0|0|1|3|6|13|28|58|109|200|239|252|236|192|135|86|8|7|4|2|1|1|0|0|0|0|0|0,1581,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2044,0|0|0|0|0|1|3|6|14|30|63|127|223|261|289|278|236|174|111|66|6|5|3|1|0|0|0|0|0|0|0,1897,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2045,0|0|0|0|1|1|3|7|15|33|68|137|260|290|316|320|278|214|144|85|47|4|3|2|1|0|0|0|0|0|0,2229,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2046,0|0|0|0|1|1|3|7|16|35|73|147|280|339|351|349|320|252|177|110|62|33|3|2|1|0|0|0|0|0|0,2562,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2047,0|0|0|0|1|1|3|8|17|37|77|158|299|365|409|388|349|289|208|136|80|43|22|2|1|1|0|0|0|0|0,2894,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2048,0|0|0|0|1|1|3|8|18|39|82|166|319|389|441|452|388|316|239|160|98|55|29|15|1|1|0|0|0|0|0,3221,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2049,0|0|0|0|1|2|4|8|19|41|87|175|335|416|471|487|452|351|261|184|115|68|37|19|10|1|1|0|0|0|0,3545,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,BEV,2050,0|0|0|0|1|2|4|9|19|43|92|185|353|436|503|520|487|409|290|200|133|80|46|25|12|6|0|0|0|0|0,3855,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2027,0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2028,0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2029,0|0|0|0|0|0|0|0|0|0|0|1|2|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2030,0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2031,0|0|0|0|0|0|0|0|0|0|0|0|1|3|3|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0,12,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2032,0|0|0|0|0|0|0|0|0|0|0|1|1|2|4|3|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0,15,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2033,0|0|0|0|0|0|0|0|1|0|0|0|2|1|2|4|3|2|1|1|0|0|0|0|0|0|0|0|0|0|0,17,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2034,0|0|0|0|0|0|0|0|1|1|0|0|1|2|2|2|4|3|2|1|1|0|0|0|0|0|0|0|0|0|0,20,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2035,0|0|0|0|0|0|0|0|1|2|3|0|1|1|3|2|2|4|2|1|0|1|0|0|0|0|0|0|0|0|0,23,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2036,0|0|0|0|0|0|0|1|1|3|4|7|1|1|2|3|2|2|3|2|1|0|0|0|0|0|0|0|0|0|0,33,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2037,0|0|0|0|0|0|0|1|1|3|6|9|15|1|1|2|3|2|2|2|1|1|0|0|0|0|0|0|0|0|0,50,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2038,0|0|0|0|0|0|0|1|2|3|6|13|19|19|2|1|2|3|1|1|2|1|0|0|0|0|0|0|0|0|0,76,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2039,0|0|0|0|0|0|0|1|2|4|8|14|27|25|23|2|1|2|2|1|1|1|1|0|0|0|0|0|0|0|0,115,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2040,0|0|0|0|0|0|0|1|2|4|9|17|28|35|30|26|2|1|1|2|1|1|1|0|0|0|0|0|0|0|0,161,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2041,0|0|0|0|0|0|0|1|2|5|10|19|36|36|43|33|26|2|1|1|1|0|0|1|0|0|0|0|0|0|0,217,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2042,0|0|0|0|0|0|0|1|3|6|12|22|39|46|44|47|33|23|1|1|1|1|0|0|0|0|0|0|0|0|0,280,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2043,0|0|0|0|0|0|0|1|3|6|13|26|46|51|56|49|47|30|19|1|1|0|1|0|0|0|0|0|0|0|0,350,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2044,0|0|0|0|0|0|1|1|3|6|13|28|53|60|62|62|49|43|25|15|1|0|0|0|0|0|0|0|0|0|0,422,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2045,0|0|0|0|0|0|1|1|3|6|14|29|58|69|72|68|62|44|35|19|11|1|0|0|0|0|0|0|0|0|0,493,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2046,0|0|0|0|0|0|1|1|3|6|14|30|60|75|84|80|68|56|36|27|14|7|0|0|0|0|0|0|0|0|0,562,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2047,0|0|0|0|0|0|1|1|3|7|14|31|60|78|91|92|80|62|46|28|20|10|5|0|0|0|0|0|0|0|0,629,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2048,0|0|0|0|0|0|1|1|3|7|15|31|62|79|94|101|92|72|51|36|20|14|6|3|0|0|0|0|0|0|0,688,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2049,0|0|0|0|0|0|1|1|3|7|15|31|61|80|95|104|101|84|60|39|26|14|9|4|2|0|0|0|0|0|0,737,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,Car,PHEV,2050,0|0|0|0|0|0|1|1|3|7|15|31|62|80|97|105|104|91|69|46|28|18|9|6|3|1|0|0|0|0|0,777,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2027,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2028,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2029,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2030,0|0|0|0|0|0|0|0|1|1|1|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2031,0|0|0|0|0|0|1|1|1|1|2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,11,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2032,0|0|0|0|0|0|1|1|1|2|3|4|3|1|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0,21,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2033,0|0|0|0|0|0|1|2|3|3|5|7|8|4|2|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0,40,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2034,0|0|0|0|0|1|1|2|4|7|7|12|15|10|5|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0,69,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2035,0|0|0|0|0|1|1|3|5|10|17|15|25|19|13|5|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0,119,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2036,0|0|0|0|0|1|2|3|7|13|22|37|31|32|23|14|5|2|1|1|0|0|0|0|0|0|0|0|0|0|0,194,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2037,0|0|0|0|0|1|2|4|8|16|29|49|76|40|39|25|14|5|1|1|1|0|0|0|0|0|0|0|0|0|0,311,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2038,0|0|0|0|0|1|2|4|10|19|37|65|101|100|48|43|25|13|4|1|1|0|0|0|0|0|0|0|0|0|0,474,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2039,0|0|0|0|0|1|2|5|11|23|44|81|133|131|121|53|43|23|10|3|1|0|0|0|0|0|0|0|0|0|0,685,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2040,0|0|0|0|1|1|3|6|12|25|52|96|166|173|159|133|53|39|19|8|2|1|0|0|0|0|0|0|0|0|0,949,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2041,0|0|0|0|1|1|3|7|15|29|57|113|198|216|209|176|133|48|32|15|6|1|0|0|0|0|0|0|0|0|0,1260,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2042,0|0|0|0|1|1|3|7|16|34|65|125|232|259|261|231|176|121|40|25|11|4|1|0|0|0|0|0|0|0|0,1613,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2043,0|0|0|0|1|2|4|8|18|38|78|143|257|303|313|288|231|159|100|31|18|7|3|1|0|0|0|0|0|0|0,2003,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2044,0|0|0|0|1|2|4|9|19|41|86|170|292|335|366|345|288|209|131|76|22|12|5|2|0|0|0|0|0|0|0,2415,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2045,0|0|0|0|1|2|4|9|21|45|93|186|347|381|405|405|345|261|173|101|55|15|8|3|1|0|0|0|0|0|0,2861,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2046,0|0|0|0|1|2|4|10|22|48|101|202|380|453|460|447|405|313|216|133|73|38|10|5|2|1|0|0|0|0|0,3326,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2047,0|0|0|0|1|2|4|10|23|51|107|218|411|495|547|508|447|366|259|166|96|51|26|7|4|1|0|0|0|0|0,3800,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2048,0|0|0|0|1|2|5|11|25|54|114|231|441|535|599|605|508|405|303|198|120|67|34|17|4|2|1|0|0|0|0,4282,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2049,0|0|0|0|1|2|5|11|25|57|120|244|467|575|647|661|605|460|335|232|143|83|45|22|11|3|1|1|0|0|0,4756,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,BEV,2050,0|0|0|0|1|2|5|12|27|59|127|258|494|609|696|715|661|547|381|257|168|99|56|30|15|7|2|1|0|0|0,5229,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2027,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2028,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2029,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2030,0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2031,0|0|0|0|0|0|0|0|0|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2032,0|0|0|0|0|0|0|0|0|1|1|2|1|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2033,0|0|0|0|0|0|0|0|1|1|2|3|5|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0,17,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2034,0|0|0|0|0|0|0|1|1|2|3|5|6|7|2|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0,31,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2035,0|0|0|0|0|0|0|1|1|2|4|6|10|8|8|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0,45,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2036,0|0|0|0|0|0|0|1|1|3|5|8|12|13|10|9|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0,66,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2037,0|0|0|0|0|0|0|1|2|3|7|11|17|16|16|11|9|2|0|0|0|0|0|0|0|0|0|0|0|0|0,95,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2038,0|0|0|0|0|0|0|1|2|4|8|16|23|22|19|18|11|8|1|0|0|0|0|0|0|0|0|0|0|0|0,133,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2039,0|0|0|0|0|0|1|1|2|5|10|17|33|30|27|21|18|10|7|1|0|0|0|0|0|0|0|0|0|0|0,183,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2040,0|0|0|0|0|0|1|1|3|6|11|21|34|43|36|30|21|16|8|5|1|0|0|0|0|0|0|0|0|0|0,237,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2041,0|0|0|0|0|0|1|1|3|7|13|24|44|44|52|39|30|19|13|6|4|1|0|0|0|0|0|0|0|0|0,301,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2042,0|0|0|0|0|0|1|2|4|8|16|29|50|57|54|57|39|27|16|10|5|3|0|0|0|0|0|0|0|0|0,378,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2043,0|0|0|0|0|0|1|2|4|8|18|35|59|65|69|59|57|36|22|12|7|3|2|0|0|0|0|0|0|0|0,459,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2044,0|0|0|0|0|0|1|2|4|8|19|38|71|77|78|76|59|52|30|17|9|5|2|1|0|0|0|0|0|0|0,549,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2045,0|0|0|0|0|0|1|2|4|9|19|40|78|92|93|87|76|54|43|23|12|6|3|1|1|0|0|0|0|0|0,644,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2046,0|0|0|0|0|0|1|2|4|9|20|41|82|102|111|103|87|69|44|33|16|9|4|2|1|0|0|0|0|0|0,740,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2047,0|0|0|0|0|0|1|2|4|9|20|42|83|107|123|123|103|78|57|34|24|11|6|3|1|1|0|0|0|0|0,832,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2048,0|0|0|0|0|0|1|2|4|9|20|43|85|109|129|136|123|93|65|44|25|16|8|4|2|1|0|0|0|0|0,919,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2049,0|0|0|0|0|0|1|2|4|9|20|43|86|111|132|142|136|111|77|50|32|17|11|5|2|1|1|0|0|0|0,993,United States,ACCII,LDV,Retire,NA,NA,NA
Alabama,SUV,PHEV,2050,0|0|0|0|0|0|1|2|4|9|21|43|87|112|134|145|142|123|92|59|36|22|11|7|3|2|1|0|0|0|0,1056,United States,ACCII,LDV,Retire,NA,NA,NA
Alaska,Car,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alaska,Car,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alaska,Car,BEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alaska,Car,BEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alaska,Car,BEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alaska,Car,BEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
Alaska,Car,BEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,United States,ACCII,LDV,Retire,NA,NA,NA
